Date,news,Adj Close
2011-06-07,Punjab revised base rate upward 50 basis points ie 10 9050 effect May 05 2011Punjab meeting held May 04 2011 declared dividend Rs 22 per share Rs 10 FY 201011Punjab announced fourth quarter results The companys Q4 net profit 6 Rs 1200 crore versus Rs 1135 crore,112.706299
2011-02-07,Motilal Oswal bullish Punjab recommended buy rating stock target Rs 1400 May 4 2011 researc,105.345459
2011-06-29,Interest earned quarter Rs 744029 crore net profit Rs 120090 croreEmkay Global Financial Services bullish Punjab recommended accumulate rating stock target Rs 1300,124.531975
2011-06-17,Countrys largest lender today announced hike lending rates 75 basis points bps making housing auto loans dearer ne,120.464104
2011-06-16,ICICIdirectcom bullish Punjab recommended buy rating stock target Rs 1255 May 12 2011 rese,120.12558
2011-06-14,may slip Rs 2138 says Salil Sharma Kapur Sharma Co Aditya Birla Money bearish Punjab recommended sell rating stock target Rs 1000 May 20 2011,112.30938
2011-05-27,support Rs 1000 says Shardul Kulkarni Angel Broking,110.97948500000001
2011-05-26,Amit Khurana Director Research Dolat Capital positive Punjab,111.55165900000001
2011-05-25,Hold says Prashastha Seth Senior VP IIFL Private Wealth,108.376396
2011-05-24,The Delhi High Court come heavily Punjab arm twisting tactics releasing Rs 1000 crore loansecurities r,108.18051100000001
2011-05-23,KRChoksey bullish Punjab recommended buy rating stock target Rs 1380 June 13 2011 research,106.216591
2011-10-05,Enter Punjab Rs 1000 says SP Tulsian sptulsiancom,104.30162800000001
2011-09-05,Punjab Saturday said focus economic activities Self Help Groups SHGs tourism agriculture dairy sectorPunjab Banks credit micro small medium enterprises rose Rs 45296 crore end March 2011 Rs 35034 crore last year r,106.694153
2011-07-05,Rupay first domestic form plastic money promoted Payment Corporation India NPCI fast inking strategic ties banks,130.183395
2011-05-05,Sushil Finance bullish Punjab recommended buy rating stock target Rs 1370 July 4 2011 resea,109.94339
2011-04-05,Punjab Indias second largest public sector set foray Canadian market setting subsidiary estAs overall credit take started losing steam back rising interest rates Reserve India RBI Tuesday asked banks st,123.500114
2011-04-26,KRChoksey come earning estimates banking sector quarter ended June 2011 According research firm Punjab B,125.96404299999999
2011-04-25,Way2Wealth bullish Punjab recommended buy rating stock target Rs 1350 July 13 2011 research,125.257851
2011-04-19,Punjab announce first quarter results According CNBCTV18s estimates companys net interest income NII seen 1,122.07228899999998
2011-04-15,Buy Punjab current levels says SP Tulsian sptulsiancomThe countrys second largest public sector lender Punjab today said selected Metlife partner proposed foray KR Kamath chairman managing director joins CNBCTV18 talk beyond numbers way forward PNBBelow Rs 830820 Reliance Industries RIL slip Rs 790770 says Ashish Chaturmuhta IIFL Private Wealth ManagementSharad Avasthi SPA Securities feels one buy Punjab posted rise 35 first quarter FY12 net profit During period net profit increased Rs 1105 cror,122.84548999999998
2011-11-04,Corporation entered partnership Collateral Management Services Limited NCMSL major agriinfrastructure player Sharekhan come report various stocks,112.28246299999999
2011-03-30,SP Tulsian sptulsiancom feels investors add Hindalco ThermaxMotilal Oswal bullish Punjab recommended buy rating stock target Rs 1500 July 28 2011 resea,125.520752
2011-03-25,Countrys largest private lender ICICI today announced hike lending rates 50 basis points,117.824852
2011-03-16,The Reserve Indias governor today proposed separate chairman managing director CEO position PSU banks Sharing vie,113.067116
2011-11-03,Ailing Koutons Retail got respite bankers approved debt restructuring package,113.34964
2011-02-02,R K Global bullish Punjab recommendation buy rating stock target Rs 930 October 7 2011 rese,111.33515200000001
2011-01-27,Amid rising concerns funding power sector public sector lender Punjab started restructuring loans doled Sudarshan Sukhani technicaltrendscom shares view Punjab BankDavid Pezarkar Head Equity Daiwa Mutual Fund shares view banksAmisha Vora Joint Managing Director Prabhudas Lilladher feels investors accumulate Punjab Of Baroda BoB cKR Kamath chairman managing director said expects achieve banks guidance full year margins despite savings interest raPunjab countrys second largest PSU market cap reported net profit Rs 1205 crore second quarter FY12Indias second largest PSU market cap Punjab expected report profit tax Rs 1148 crore second quarter Indias second largest PSU market cap Punjab expected report profit tax Rs 1148 crore second quarter,114.29393
2011-01-25,Prakash Diwan Asit C Mehta Investment shares view Punjab BankPunjab may test Rs 1010 says Sudarshan Sukhani Technical Trends Public sector banks putoff earnings season Union Oriental Commerce disappointing says Sampath KumarSudarshan Sukhani Technical Trends view one buy Bata IndiaBuy Punjab says Sudarshan Sukhani Technical Trends,117.299072
2011-01-21,Dolat Capital bullish Punjab recommended buy rating stock target price Rs 1426 November 1 2,116.01558700000001
2011-01-14,Karvy Stock Broking bullish Punjab recommended buy rating stock target Rs 1250 November 2 2Sudarshan Sukhani Technical Trends feels one buy long term,115.36608899999999
2011-12-01,may slip 1520 says Suresh Ganapathy Banking Analyst Macquarie,103.383629
2011-11-01,The total business Punjab Kerala crossed Rs 7000 crore registering yoy growth around 30 December 2 2011 top,116.20116399999999
2011-08-01,Jet Airways may see declines says Sudarshan Sukhani s2analyticscom,128.152328
2011-07-01,Sr Technical Analyst Shardul Kulkarni Angel Broking view ICICI Punjab,125.249176
2011-06-01,Bulls Eye CNBCTV18s popular game show market experts come together dish trading strategies make week exciting,113.628983
2012-12-31,The worst seems Indian banks The third quarter OctoberDecember earnings according analysts tracking banks would spring ugly,115.60006000000001
2012-12-26,Angel Broking come quarterly earning estimates banking sector,111.77900700000001
